Frequência (Hz)	FFT Filtro 1º Pico	FFT Filtro 2º Pico	FFT Filtro 3º Pico
0.00	0.371624	1.053802	4.318979
0.10	0.371625	1.053822	4.319253
0.20	0.371629	1.053879	4.320073
0.30	0.371634	1.053976	4.321438
0.40	0.371642	1.054111	4.323354
0.50	0.371652	1.054285	4.325820
0.60	0.371664	1.054498	4.328839
0.70	0.371678	1.054749	4.332410
0.80	0.371694	1.055039	4.336528
0.90	0.371713	1.055369	4.341207
1.00	0.371734	1.055737	4.346445
1.10	0.371757	1.056144	4.352256
1.20	0.371782	1.056591	4.358625
1.30	0.371809	1.057076	4.365562
1.40	0.371839	1.057602	4.373081
1.50	0.371871	1.058166	4.381167
1.60	0.371905	1.058771	4.389858
1.70	0.371941	1.059415	4.399130
1.80	0.371979	1.060099	4.408997
1.90	0.372020	1.060824	4.419469
2.00	0.372063	1.061589	4.430543
2.10	0.372108	1.062394	4.442246
2.20	0.372155	1.063241	4.454570
2.30	0.372204	1.064128	4.467526
2.40	0.372256	1.065057	4.481125
2.50	0.372310	1.066027	4.495375
2.60	0.372366	1.067038	4.510284
2.70	0.372424	1.068092	4.525867
2.80	0.372485	1.069188	4.542131
2.90	0.372547	1.070327	4.559103
3.00	0.372612	1.071508	4.576772
3.10	0.372679	1.072733	4.595156
3.20	0.372749	1.074001	4.614300
3.30	0.372820	1.075313	4.634164
3.40	0.372894	1.076669	4.654805
3.50	0.372970	1.078069	4.676256
3.60	0.373049	1.079515	4.698467
3.70	0.373129	1.081006	4.721529
3.80	0.373212	1.082542	4.745408
3.90	0.373297	1.084125	4.770177
4.00	0.373384	1.085754	4.795762
4.10	0.373474	1.087431	4.822420
4.20	0.373566	1.089154	4.849826
4.30	0.373660	1.090926	4.878303
4.40	0.373756	1.092747	4.907730
4.50	0.373855	1.094616	4.938134
4.60	0.373956	1.096535	4.969685
4.70	0.374059	1.098504	5.002512
4.80	0.374164	1.100523	5.035918
4.90	0.374272	1.102594	5.070862
5.00	0.374382	1.104717	5.107101
5.10	0.374494	1.106892	5.144776
5.20	0.374609	1.109120	5.182644
5.30	0.374726	1.111402	5.223487
5.40	0.374845	1.113739	5.264420
5.50	0.374966	1.116131	5.307014
5.60	0.375090	1.118578	5.351213
5.70	0.375216	1.121082	5.397731
5.80	0.375345	1.123644	5.446502
5.90	0.375475	1.126264	5.492339
6.00	0.375608	1.128943	5.544962
6.10	0.375744	1.131683	5.600812
6.20	0.375881	1.134482	5.656061
6.30	0.376022	1.137343	5.710470
6.40	0.376164	1.140267	5.766584
6.50	0.376309	1.143255	5.830531
6.60	0.376456	1.146307	5.891777
6.70	0.376606	1.149425	5.953837
6.80	0.376758	1.152610	6.025172
6.90	0.376912	1.155862	6.095772
7.00	0.377068	1.159184	6.176329
7.10	0.377227	1.162575	6.247347
7.20	0.377389	1.166038	6.331665
7.30	0.377553	1.169572	6.405185
7.40	0.377719	1.173183	6.510913
7.50	0.377888	1.176863	6.570354
7.60	0.378059	1.180625	6.681121
7.70	0.378232	1.184464	6.797690
7.80	0.378408	1.188378	6.871739
7.90	0.378587	1.192377	6.996196
8.00	0.378768	1.196457	7.109460
8.10	0.378951	1.200623	7.258800
8.20	0.379137	1.204873	7.418108
8.30	0.379325	1.209215	7.611869
8.40	0.379516	1.213636	7.733290
8.50	0.379709	1.218146	7.842554
8.60	0.379904	1.222764	8.152302
8.70	0.380102	1.227470	8.401913
8.80	0.380303	1.232264	8.564396
8.90	0.380506	1.237159	8.798817
9.00	0.380712	1.242159	9.119855
9.10	0.380920	1.247274	9.573355
9.20	0.381131	1.252468	9.763079
9.30	0.381344	1.257778	10.197706
9.40	0.381560	1.263217	10.521767
9.50	0.381779	1.268768	11.217187
9.60	0.382000	1.274399	11.295368
9.70	0.382223	1.280152	11.493108
9.80	0.382449	1.286065	11.980305
9.90	0.382678	1.292076	12.378552
10.00	0.382910	1.298195	12.558838
10.10	0.383144	1.304491	12.945803
10.20	0.383380	1.310859	13.020937
10.30	0.383619	1.317409	13.076629
10.40	0.383861	1.324050	13.299703
10.50	0.384106	1.330918	13.365306
10.60	0.384353	1.337836	13.514305
10.70	0.384603	1.345026	13.903450
10.80	0.384856	1.352196	13.307451
10.90	0.385111	1.359736	14.153367
11.00	0.385369	1.367250	13.276065
11.10	0.385629	1.374938	13.749673
11.20	0.385893	1.382977	13.088171
11.30	0.386159	1.391122	13.733141
11.40	0.386428	1.399328	13.118860
11.50	0.386699	1.407832	13.156345
11.60	0.386974	1.416599	13.003134
11.70	0.387251	1.425449	12.681276
11.80	0.387531	1.434580	13.007941
11.90	0.387814	1.443596	12.396238
12.00	0.388100	1.453283	12.433775
12.10	0.388388	1.462746	11.720999
12.20	0.388679	1.472831	11.896702
12.30	0.388973	1.483091	12.091741
12.40	0.389270	1.493327	11.689026
12.50	0.389570	1.504204	11.517080
12.60	0.389873	1.514738	10.775984
12.70	0.390179	1.526073	10.515840
12.80	0.390487	1.538185	10.939401
12.90	0.390799	1.549672	10.924233
13.00	0.391113	1.561306	10.250338
13.10	0.391431	1.573591	10.414316
13.20	0.391751	1.586092	10.003557
13.30	0.392074	1.598842	9.532677
13.40	0.392401	1.613259	9.724098
13.50	0.392730	1.627113	9.794866
13.60	0.393062	1.640863	9.402338
13.70	0.393398	1.654917	9.201873
13.80	0.393736	1.670815	9.404966
13.90	0.394078	1.684605	9.133000
14.00	0.394423	1.699172	8.866553
14.10	0.394770	1.715584	8.750171
14.20	0.395121	1.732715	8.663553
14.30	0.395475	1.750483	8.507156
14.40	0.395832	1.767081	8.392611
14.50	0.396193	1.784408	8.211920
14.60	0.396557	1.801716	7.876039
14.70	0.396923	1.820111	7.795364
14.80	0.397293	1.838379	7.540084
14.90	0.397666	1.859387	7.481482
15.00	0.398042	1.879127	7.476484
15.10	0.398422	1.901739	7.324756
15.20	0.398805	1.922034	7.330268
15.30	0.399191	1.941575	6.797329
15.40	0.399581	1.965078	6.763439
15.50	0.399974	1.984699	6.504207
15.60	0.400370	2.010495	6.919947
15.70	0.400770	2.031471	6.678425
15.80	0.401173	2.060530	7.003257
15.90	0.401579	2.077338	6.319793
16.00	0.401989	2.114883	6.484622
16.10	0.402402	2.136223	6.178313
16.20	0.402819	2.171589	6.143931
16.30	0.403239	2.198313	6.043176
16.40	0.403663	2.213957	6.119662
16.50	0.404091	2.252498	5.849215
16.60	0.404522	2.280850	5.636008
16.70	0.404956	2.298348	5.385795
16.80	0.405394	2.335336	5.529232
16.90	0.405836	2.363630	5.382185
17.00	0.406281	2.393297	5.181943
17.10	0.406730	2.453221	5.079186
17.20	0.407183	2.455936	5.171067
17.30	0.407639	2.472288	4.797067
17.40	0.408099	2.526437	4.848023
17.50	0.408563	2.573374	4.633442
17.60	0.409031	2.607340	4.784503
17.70	0.409502	2.662272	4.994501
17.80	0.409977	2.687179	4.616186
17.90	0.410456	2.748321	4.381659
18.00	0.410940	2.757082	4.481933
18.10	0.411426	2.815716	4.381563
18.20	0.411917	2.867383	4.518314
18.30	0.412412	2.853559	4.385166
18.40	0.412911	2.945824	4.322359
18.50	0.413413	2.934276	3.883661
18.60	0.413920	3.094356	4.311571
18.70	0.414431	3.148801	4.309325
18.80	0.414946	3.154341	4.040109
18.90	0.415465	3.243382	4.206201
19.00	0.415988	3.320374	4.035030
19.10	0.416516	3.330334	4.074160
19.20	0.417047	3.504844	4.022479
19.30	0.417583	3.507877	3.794237
19.40	0.418123	3.691567	3.675651
19.50	0.418667	3.734035	3.629036
19.60	0.419216	3.725035	3.329391
19.70	0.419769	3.917052	3.741483
19.80	0.420327	4.123516	3.763441
19.90	0.420889	3.948588	3.439837
20.00	0.421455	4.288114	3.669728
20.10	0.422026	4.118766	3.254901
20.20	0.422601	4.301805	3.369647
20.30	0.423181	4.551847	3.471365
20.40	0.423765	4.658219	3.527326
20.50	0.424354	4.480123	3.311602
20.60	0.424948	4.544699	3.189861
20.70	0.425546	4.803551	3.434675
20.80	0.426149	4.780022	3.210480
20.90	0.426757	4.692900	3.052484
21.00	0.427370	4.747276	3.072295
21.10	0.427988	4.754089	3.005580
21.20	0.428610	4.645989	3.018592
21.30	0.429237	4.805629	3.117820
21.40	0.429869	5.003089	3.232413
21.50	0.430507	4.883015	3.068519
21.60	0.431149	4.967219	3.159729
21.70	0.431796	4.816783	2.989463
21.80	0.432449	4.811477	3.025278
21.90	0.433106	4.759402	2.931699
22.00	0.433769	4.823199	3.108980
22.10	0.434437	4.953201	3.046114
22.20	0.435111	5.022771	3.222036
22.30	0.435789	4.625830	2.777706
22.40	0.436473	4.781742	3.099767
22.50	0.437163	4.829818	3.157495
22.60	0.437858	4.644854	2.889195
22.70	0.438558	4.686322	3.013609
22.80	0.439264	4.814380	2.988159
22.90	0.439976	4.707040	2.988622
23.00	0.440693	4.610951	2.991882
23.10	0.441417	4.273820	2.930558
23.20	0.442145	4.639053	3.090877
23.30	0.442880	4.534993	3.106584
23.40	0.443621	4.403238	2.917323
23.50	0.444367	4.340258	2.956654
23.60	0.445118	4.285113	2.774760
23.70	0.445877	4.485599	3.071395
23.80	0.446642	4.443671	3.272064
23.90	0.447412	4.446400	3.154858
24.00	0.448189	4.243921	3.141700
24.10	0.448972	4.385709	3.068765
24.20	0.449762	4.180555	3.354180
24.30	0.450557	4.168293	3.323671
24.40	0.451360	4.132726	3.324622
24.50	0.452168	4.209977	3.458171
24.60	0.452984	3.912380	3.306724
24.70	0.453805	4.074777	3.345065
24.80	0.454634	4.207552	3.234206
24.90	0.455470	4.020064	3.290029
25.00	0.456312	3.943658	3.404603
25.10	0.457161	3.786673	3.425274
25.20	0.458017	3.979988	3.548689
25.30	0.458880	3.764026	3.568988
25.40	0.459750	3.706461	3.487618
25.50	0.460628	3.714593	3.580332
25.60	0.461512	3.785208	3.443428
25.70	0.462404	3.420837	3.380996
25.80	0.463303	3.713671	3.463961
25.90	0.464210	3.438152	3.476993
26.00	0.465125	3.563544	3.508458
26.10	0.466047	3.363724	3.593837
26.20	0.466976	3.565395	3.530804
26.30	0.467913	3.555433	3.509129
26.40	0.468860	3.519536	3.667368
26.50	0.469813	3.476719	3.735301
26.60	0.470775	3.365434	3.768740
26.70	0.471745	3.115363	3.670410
26.80	0.472722	3.066867	3.581347
26.90	0.473709	3.308422	3.805345
27.00	0.474703	3.218724	3.609799
27.10	0.475707	3.052885	3.701374
27.20	0.476718	3.188793	3.661611
27.30	0.477740	3.152620	3.804151
27.40	0.478770	2.942392	3.774752
27.50	0.479808	3.128882	3.894592
27.60	0.480854	2.847619	3.648528
27.70	0.481912	2.821346	3.665248
27.80	0.482978	2.793221	3.661377
27.90	0.484053	2.938777	3.776445
28.00	0.485138	2.738997	3.838603
28.10	0.486231	2.968698	3.720022
28.20	0.487335	2.878118	3.678753
28.30	0.488451	2.889533	3.833416
28.40	0.489574	2.668153	3.750003
28.50	0.490708	2.724036	3.726505
28.60	0.491853	2.633689	3.704569
28.70	0.493006	2.741801	3.657793
28.80	0.494174	2.654338	3.778384
28.90	0.495347	2.672434	3.612801
29.00	0.496536	2.371869	3.667076
29.10	0.497731	2.349364	3.518766
29.20	0.498942	2.477392	3.679355
29.30	0.500158	2.485312	3.476355
29.40	0.501391	2.203055	3.502402
29.50	0.502635	2.341782	3.552175
29.60	0.503890	2.354831	3.568729
29.70	0.505155	2.378667	3.505759
29.80	0.506433	2.506587	3.510398
29.90	0.507721	2.424875	3.414927
30.00	0.509026	2.221071	3.408638
30.10	0.510339	2.177493	3.319194
30.20	0.511668	2.364863	3.385323
30.30	0.513011	2.221496	3.359435
30.40	0.514365	2.262896	3.352266
30.50	0.515727	2.159219	3.209333
30.60	0.517109	2.183326	3.222907
30.70	0.518504	2.264890	3.221645
30.80	0.519913	2.001423	3.164950
30.90	0.521335	2.052760	3.137781
31.00	0.522769	2.139690	3.089584
31.10	0.524218	2.087576	3.035794
31.20	0.525686	2.000299	3.023571
31.30	0.527167	2.128582	3.016135
31.40	0.528659	1.961615	2.930075
31.50	0.530173	1.924253	2.918863
31.60	0.531700	1.984777	2.898115
31.70	0.533245	1.956902	2.877776
31.80	0.534795	1.958890	2.785805
31.90	0.536373	2.069310	2.788888
32.00	0.537972	1.913426	2.782808
32.10	0.539588	1.999859	2.785363
32.20	0.541207	1.771512	2.702756
32.30	0.542834	1.777980	2.591662
32.40	0.544523	2.692227	2.752753
32.50	0.546168	1.947216	2.528743
32.60	0.547876	1.787456	2.527616
32.70	0.549599	2.005263	2.528767
32.80	0.551347	2.239199	2.549167
32.90	0.553123	2.373446	2.571691
33.00	0.554896	2.163838	2.517330
33.10	0.556704	2.352897	2.515281
33.20	0.558523	2.202964	2.471453
33.30	0.560361	1.967231	2.418222
33.40	0.562223	2.014761	2.393028
33.50	0.564087	1.742582	2.321717
33.60	0.565978	1.551661	2.264711
33.70	0.567912	1.793909	2.261771
33.80	0.569850	1.612855	2.211231
33.90	0.571828	1.713663	2.194244
34.00	0.573807	1.523449	2.142424
34.10	0.575830	1.524872	2.117584
34.20	0.577873	1.570734	2.094012
34.30	0.579928	1.469446	2.054755
34.40	0.582026	1.461748	2.030447
34.50	0.584148	1.547964	2.011613
34.60	0.586262	1.577610	1.972604
34.70	0.588487	1.651310	1.974163
34.80	0.590699	1.565985	1.944511
34.90	0.592919	1.471510	1.911721
35.00	0.595070	0.732463	1.820510
35.10	0.597536	2.231330	1.925472
35.20	0.599812	1.832269	1.871706
35.30	0.602145	1.744132	1.841246
35.40	0.604517	1.605269	1.811210
35.50	0.606951	1.677144	1.796318
35.60	0.609427	1.821789	1.786228
35.70	0.611914	1.849826	1.767402
35.80	0.614423	1.776121	1.742597
35.90	0.616973	1.725518	1.719780
36.00	0.619564	1.696966	1.698540
36.10	0.622179	1.673634	1.678506
36.20	0.624859	1.716511	1.662834
36.30	0.627556	1.695917	1.643625
36.40	0.630301	1.686169	1.625213
36.50	0.633064	1.615427	1.603721
36.60	0.635928	1.722150	1.593119
36.70	0.638805	1.730841	1.576845
36.80	0.641744	1.784408	1.563321
36.90	0.644653	1.668651	1.541381
37.00	0.647740	1.855102	1.536271
37.10	0.650771	1.779231	1.515873
37.20	0.653852	1.736202	1.499031
37.30	0.657052	1.806340	1.487120
37.40	0.660352	1.950228	1.478854
37.50	0.663486	1.748912	1.453805
37.60	0.666900	1.883235	1.447493
37.70	0.670181	1.751058	1.428101
37.80	0.673610	1.749867	1.415953
37.90	0.677234	1.897113	1.408859
38.00	0.680722	1.818933	1.391857
38.10	0.684359	1.830779	1.380454
38.20	0.688000	1.783323	1.366459
38.30	0.691814	1.832751	1.356128
38.40	0.695648	1.834516	1.344316
38.50	0.699610	1.872913	1.334831
38.60	0.703499	1.806399	1.320564
38.70	0.707622	1.859190	1.309928
38.80	0.711928	1.944946	1.303227
38.90	0.715818	1.766417	1.284255
39.00	0.720131	1.757838	1.274638
39.10	0.724674	1.847449	1.265872
39.20	0.729103	1.801036	1.255162
39.30	0.733365	1.681925	1.239740
39.40	0.738480	1.825260	1.236710
39.50	0.743160	1.776652	1.225616
39.60	0.748073	1.774429	1.216223
39.70	0.752875	1.726784	1.203902
39.80	0.757941	1.680091	1.195201
39.90	0.763258	1.725469	1.185796
40.00	0.768534	1.676939	1.176753
40.10	0.774078	1.690898	1.168058
40.20	0.779424	1.623760	1.157546
40.30	0.784777	1.564396	1.146090
40.40	0.791309	1.650687	1.141872
40.50	0.797265	1.622195	1.133022
40.60	0.803492	1.608088	1.124988
40.70	0.809716	1.588557	1.115973
40.80	0.815902	1.533044	1.106573
40.90	0.822399	1.514114	1.097734
41.00	0.829121	1.488464	1.089498
41.10	0.835906	1.466202	1.080842
41.20	0.843369	1.470283	1.074057
41.30	0.851432	1.476974	1.068616
41.40	0.857949	1.406972	1.057930
41.50	0.866488	1.427107	1.052368
41.60	0.874023	1.384888	1.043827
41.70	0.882391	1.382053	1.036713
41.80	0.889975	1.337030	1.027730
41.90	0.899029	1.340793	1.021252
42.00	0.907690	1.320667	1.013736
42.10	0.916695	1.268719	1.006644
42.20	0.926293	1.240060	1.000012
42.30	0.937903	1.271877	0.995491
42.40	0.946253	1.235568	0.986603
42.50	0.956349	1.193493	0.979687
42.60	0.971098	1.253020	0.977036
42.70	0.977141	1.164900	0.965855
42.80	0.993751	1.197726	0.963706
42.90	1.002219	1.128637	0.954613
43.00	1.014084	1.127011	0.948193
43.10	1.028820	1.154545	0.943481
43.20	1.041966	1.119330	0.937232
43.30	1.058051	1.112720	0.932389
43.40	1.071643	1.099854	0.926130
43.50	1.085150	1.067940	0.919578
43.60	1.099557	1.046350	0.913395
43.70	1.113318	1.018209	0.906867
43.80	1.135577	1.034624	0.903287
43.90	1.150796	1.008594	0.896982
44.00	1.168362	0.988836	0.891286
44.10	1.186641	0.994098	0.886116
44.20	1.209098	0.981907	0.881332
44.30	1.229045	0.957754	0.875712
44.40	1.244944	0.946456	0.869725
44.50	1.267387	0.928063	0.864509
44.60	1.287369	0.921945	0.859231
44.70	1.316458	0.923233	0.855139
44.80	1.327543	0.901197	0.848552
44.90	1.352045	0.876999	0.843249
45.00	1.390549	0.862165	0.839231
45.10	1.425375	0.869965	0.835487
45.20	1.431052	0.851767	0.828962
45.30	1.474156	0.829614	0.824628
45.40	1.497653	0.841882	0.820404
45.50	1.544115	0.814366	0.815778
45.60	1.556407	0.797830	0.810022
45.70	1.588310	0.793398	0.805644
45.80	1.626720	0.798329	0.801920
45.90	1.680433	0.793721	0.798242
46.00	1.732772	0.783862	0.794189
46.10	1.755910	0.774809	0.789399
46.20	1.794266	0.764930	0.784990
46.30	1.835978	0.753426	0.780577
46.40	1.871285	0.739686	0.775930
46.50	1.918363	0.734754	0.771997
46.60	1.946685	0.726579	0.767619
46.70	2.005237	0.720385	0.763826
46.80	2.052874	0.722747	0.760419
46.90	2.181274	0.697510	0.756164
47.00	2.152366	0.691841	0.751496
47.10	2.181606	0.686891	0.747554
47.20	2.266541	0.681139	0.744072
47.30	2.292788	0.676704	0.740235
47.40	2.344716	0.676970	0.736980
47.50	2.351441	0.666793	0.732719
47.60	2.329486	0.661069	0.728695
47.70	2.283588	0.641309	0.723538
47.80	2.564627	0.635399	0.721102
47.90	2.504067	0.648143	0.718591
48.00	2.514048	0.618396	0.712908
48.10	2.537265	0.637647	0.711519
48.20	2.774229	0.618050	0.707553
48.30	2.666709	0.604753	0.702918
48.40	2.494991	0.599286	0.698918
48.50	2.500123	0.597245	0.695846
48.60	2.515860	0.594880	0.692814
48.70	2.491016	0.590698	0.689543
48.80	2.513774	0.584683	0.686234
48.90	2.548674	0.580961	0.683210
49.00	2.497503	0.575121	0.679823
49.10	2.391116	0.574135	0.676890
49.20	2.401335	0.566697	0.673523
49.30	2.312229	0.561256	0.670225
49.40	2.177085	0.554383	0.666725
49.50	2.109983	0.551587	0.663834
49.60	2.136054	0.547657	0.660968
49.70	2.084307	0.542712	0.657895
49.80	1.972069	0.536533	0.654617
49.90	1.841093	0.536389	0.652078
50.00	1.711204	0.532383	0.649103
50.10	1.661619	0.528530	0.646258
50.20	1.862981	0.530759	0.644336
50.30	1.725122	0.535766	0.641942
50.40	1.093104	0.525102	0.636777
50.50	1.281213	0.495981	0.631080
50.60	2.204065	0.511930	0.633280
50.70	1.925706	0.498400	0.625721
50.80	2.896600	0.524167	0.629732
50.90	1.816873	0.496486	0.624368
51.00	0.956227	0.482481	0.619404
51.10	0.385120	0.482063	0.616717
51.20	0.509399	0.479080	0.613921
51.30	0.536413	0.476132	0.611375
51.40	0.816111	0.473515	0.608719
51.50	1.211448	0.470065	0.605910
51.60	1.137616	0.466562	0.603442
51.70	1.312505	0.464695	0.601059
51.80	1.374373	0.461695	0.598603
51.90	1.996550	0.460532	0.596101
52.00	1.967219	0.453345	0.593041
52.10	2.698263	0.454176	0.590831
52.20	2.418842	0.451996	0.588819
52.30	2.558287	0.446430	0.585910
52.40	2.744251	0.443570	0.583479
52.50	3.144547	0.440187	0.580839
52.60	3.183166	0.436651	0.578400
52.70	3.436749	0.433807	0.575969
52.80	3.473899	0.429473	0.573406
52.90	3.384259	0.426200	0.571107
53.00	2.589918	0.420954	0.568837
53.10	1.959425	0.424978	0.568408
53.20	6.018345	0.438975	0.567912
53.30	7.217860	0.418186	0.560753
53.40	5.450035	0.430222	0.563226
53.50	3.553025	0.411101	0.557948
53.60	5.111971	0.409657	0.555254
53.70	5.654480	0.408872	0.553228
53.80	6.090420	0.407189	0.551090
53.90	6.368311	0.404925	0.548921
54.00	6.738357	0.402682	0.546724
54.10	7.015886	0.400973	0.544706
54.20	7.399175	0.399054	0.542605
54.30	7.587482	0.396996	0.540579
54.40	7.902517	0.395246	0.538579
54.50	8.323303	0.392426	0.536283
54.60	8.814185	0.390562	0.534200
54.70	8.572436	0.388026	0.532296
54.80	9.097751	0.384877	0.529903
54.90	9.662074	0.383741	0.528003
55.00	10.021646	0.382722	0.526243
55.10	10.228187	0.379365	0.523964
55.20	10.580225	0.377342	0.521972
55.30	10.715355	0.375433	0.520111
55.40	10.728371	0.372167	0.517952
55.50	11.271361	0.372353	0.516500
55.60	11.009974	0.369223	0.514494
55.70	9.886990	0.367803	0.513326
55.80	12.912470	0.379174	0.514903
55.90	27.808477	0.404412	0.515034
56.00	25.417553	0.324063	0.495165
56.10	32.001707	0.384710	0.504536
56.20	24.245895	0.378217	0.504937
56.30	22.702043	0.371900	0.502584
56.40	22.847651	0.369024	0.500605
56.50	23.727576	0.367444	0.498748
56.60	24.829541	0.365914	0.496833
56.70	25.719008	0.364325	0.495000
56.80	27.210716	0.364338	0.493473
56.90	29.058541	0.364108	0.491756
57.00	30.560688	0.363510	0.490077
57.10	32.586155	0.364069	0.488619
57.20	34.565975	0.363884	0.486955
57.30	38.470150	0.368151	0.486170
57.40	40.924972	0.367348	0.484173
57.50	45.593700	0.369666	0.482491
57.60	49.441365	0.371541	0.481025
